prompt,estado_animo
"Me siento feliz hoy",Alegre
"Me siento triste por el tiempo que pasa",Melancólico
"No tengo ganas de hacer nada hoy",Ni fu ni fa
"Hoy me siento lleno de energía",Alegre
"Los recuerdos me hacen sentir melancólico",Melancólico
"No siento nada en particular",Ni fu ni fa
"Estoy emocionado por el fin de semana que viene",Alegre
"Me invade una profunda nostalgia",Melancólico
"No tengo ganas de opinar sobre nada",Ni fu ni fa
"Hoy todo me hace sonreír",Alegre
"El pasado me pesa en el corazón",Melancólico
"Hoy es un día normal para mí",Ni fu ni fa
"Me siento afortunado de estar aquí",Alegre
"Siento soledad en las noches largas",Melancólico
"Me siento indiferente ante todo",Ni fu ni fa
"Estoy decidido a disfrutar el día",Alegre
"Recuerdo momentos que me hacen sentir triste",Melancólico
"Hoy no tengo emociones fuertes",Ni fu ni fa
"Siento que todo está saliendo bien",Alegre
"El tiempo me hace reflexionar",Melancólico
"Hoy no siento ninguna novedad",Ni fu ni fa
"Me llena de alegría cada pequeño detalle",Alegre
"Me invaden pensamientos tristes",Melancólico
"No tengo palabras hoy",Ni fu ni fa
"Hoy me siento optimista y positivo",Alegre
"Siento que el pasado me busca",Melancólico
"Hoy estoy en un estado neutro",Ni fu ni fa
"Me siento emocionado por el futuro",Alegre
"Las sombras del pasado a veces me alcanzan",Melancólico
"Hoy todo me parece indiferente",Ni fu ni fa
"Hoy tengo una sonrisa en el rostro",Alegre
"Me siento atrapado en mis recuerdos",Melancólico
"Hoy no tengo grandes expectativas",Ni fu ni fa
"Estoy tan agradecido por lo que tengo",Alegre
"Me siento perdido en la tristeza",Melancólico
"Hoy no tengo ganas de hacer nada",Ni fu ni fa
"Me siento bien y con energía",Alegre
"El silencio a veces me pesa",Melancólico
"Hoy no hay nada que me emocione",Ni fu ni fa
"Me siento afortunado de tener buenos amigos",Alegre
"Me asaltan recuerdos tristes sin aviso",Melancólico
"Hoy no tengo planes",Ni fu ni fa
"Me siento lleno de gratitud",Alegre
"Las memorias a veces me abruman",Melancólico
"Hoy todo me parece bastante común",Ni fu ni fa
"Estoy disfrutando cada momento",Alegre
"Me siento nostálgico al recordar",Melancólico
"Hoy no hay nada especial que esperar",Ni fu ni fa
"Me siento en la cima del mundo",Alegre
"Me invade la tristeza a veces",Melancólico
"Hoy es solo otro día",Ni fu ni fa
"Me siento pleno y contento",Alegre
"Los días grises me afectan más de lo que debería",Melancólico
"Hoy no hay emoción en mí",Ni fu ni fa
"Hoy me siento libre y alegre",Alegre
"Mis pensamientos me llevan a lugares oscuros",Melancólico
"No siento nada en particular",Ni fu ni fa
"Estoy disfrutando de cada momento que pasa",Alegre
"Siento que el pasado me atormenta",Melancólico
"Hoy todo me parece tan monótono",Ni fu ni fa
"Me siento optimista sobre el futuro",Alegre
"Me pesa el recuerdo de lo que perdí",Melancólico
"Hoy es simplemente otro día",Ni fu ni fa
"Estoy sintiendo alegría en cada pequeño detalle",Alegre
